price,title,url
"Rs 35,000",Sony Playstation 4,https://www.olx.com.pk/item/sony-playstation-4-IDWN6V7.html
"Rs 3,000",Call of Duty: Black Ops 3 PS4,https://www.olx.com.pk/item/call-of-duty-black-ops-3-ps4-IDWN738.html
"Rs 2,500",Call of Duty: Infinite Warfare PS4,https://www.olx.com.pk/item/call-of-duty-infinite-warfare-ps4-IDWN74W.html
"Rs 3,000",Fifa 17 Standard Edition (PS4),https://www.olx.com.pk/item/fifa-17-standard-edition-ps4-IDWN7YA.html
"Rs 22,000","Nintendo 3ds xl (new model), 6 game titles and various accessories",https://www.olx.com.pk/item/nintendo-3ds-xl-new-model-6-game-titles-and-various-accessories-IDWsgun.html
Rs 150,Haeavy Gamez Pc Installation New Games,https://www.olx.com.pk/item/haeavy-gamez-pc-installation-new-games-IDWM9Py.html
"Rs 8,999",Ps4 controller nacon,https://www.olx.com.pk/item/ps4-controller-nacon-IDWN7XU.html
"Rs 22,000",Xbox 360 jtag,https://www.olx.com.pk/item/xbox-360-jtag-IDWN7YU.html
Rs 100,Play Ben 10 Games Online,https://www.olx.com.pk/item/play-ben-10-games-online-IDWN7Ze.html
"Rs 30,000",Playstation4,https://www.olx.com.pk/item/playstation4-IDWN80x.html
"Rs 22,500",Xbox one (Xbox 1) 10/10,https://www.olx.com.pk/item/xbox-one-xbox-1-10-10-IDWjCZR.html
"Rs 1,300",The Evil Within - Xbox One,https://www.olx.com.pk/item/the-evil-within-xbox-one-IDWN6Gp.html
"Rs 2,500",Call of Duty black ops 3 & infinite warfare,https://www.olx.com.pk/item/call-of-duty-black-ops-3-infinite-warfare-IDWGsGR.html
"Rs 1,500",Uncharted 3 for ps3.,https://www.olx.com.pk/item/uncharted-3-for-ps3-IDWMCta.html
"Rs 1,000",Ps3 cds going cheap,https://www.olx.com.pk/item/ps3-cds-going-cheap-IDWN5YS.html
"Rs 5,500",Ps[ 1000 gaming console,https://www.olx.com.pk/item/ps-1000-gaming-console-IDWN60H.html
"Rs 3,000",Hard Disk Filled with Powerful PC Games 100% Working. Save Thousands.,https://www.olx.com.pk/item/hard-disk-filled-with-powerful-pc-games-100-working-save-thousands-IDWN60N.html
"Rs 1,000",Playstation remote,https://www.olx.com.pk/item/playstation-remote-IDUU1hX.html
"Rs 45,000",Play Station ps4,https://www.olx.com.pk/item/play-station-ps4-IDWN64i.html
"Rs 2,000",Rocket League PS4,https://www.olx.com.pk/item/rocket-league-ps4-IDWN68K.html
"Rs 65,000",Tekken7 arcade setup runing,https://www.olx.com.pk/item/tekken7-arcade-setup-runing-IDWN68Y.html
"Rs 17,000",Ps3 ULTRA SLIM 500GB with 10 best titles and 2 controllers,https://www.olx.com.pk/item/ps3-ultra-slim-500gb-with-10-best-titles-and-2-controllers-IDWvxat.html
"Rs 24,500",PlayStation 3 (PS3) 320 GB with 2 controllers; imported from Dubai,https://www.olx.com.pk/item/playstation-3-ps3-320-gb-with-2-controllers-imported-from-dubai-IDWJaQl.html
"Rs 9,500",XBOX 360 edition Minecraft,https://www.olx.com.pk/item/xbox-360-edition-minecraft-IDWN6cM.html
"Rs 16,000",Ps3 slim with 7 most playing games,https://www.olx.com.pk/item/ps3-slim-with-7-most-playing-games-IDWN6hK.html
"Rs 2,500",Tom Clancys Ghost Recon. Almost new.,https://www.olx.com.pk/item/tom-clancys-ghost-recon-almost-new-IDWN6iV.html
"Rs 1,000",Don3 original game for pc,https://www.olx.com.pk/item/don3-original-game-for-pc-IDWN6li.html
"Rs 2,300",Magic Karaoke KTV-K088 Microphone Wireless Bluetooth Speaker Microphon,https://www.olx.com.pk/item/magic-karaoke-ktv-k088-microphone-wireless-bluetooth-speaker-microphon-IDWIEGD.html
